song_id,sent_num,line_str,artist
1001,0,Truth,ladygaga
1001,1,RedOne,ladygaga
1001,2,Konvict,ladygaga
1001,3,Gaga Ohoh eh,ladygaga
1001,5,Ive had a little bit too much much Oh oh ohoh,ladygaga
1001,6,All of the people start to rush Start to rush by,ladygaga
1001,7,A dizzy twister dance,ladygaga
1001,8,Cant find my drink or man,ladygaga
1001,9,Where are my keys,ladygaga
1001,10,I lost my phone phone Oh oh ohoh,ladygaga
1001,12,Whats goin on on the floor,ladygaga
1001,13,I love this record baby but I cant see straight anymore,ladygaga
1001,14,Keep it cool,ladygaga
1001,15,Whats the name of this club,ladygaga
1001,16,I cant remember but its alright aalright,ladygaga
1001,18,Just dance,ladygaga
1001,19,Gonna be okay,ladygaga
1001,20,Dadadoodootn just dance,ladygaga
1001,21,Spin that record babe,ladygaga
1001,24,Dadadadance dance dance,ladygaga
1001,25,Just jjjust dance,ladygaga
1001,26,Wish I could shut my playboy mouth Oh oh ohoh,ladygaga
1001,27,Howd I turn my shirt inside out Inside out right,ladygaga
1001,28,Control your poison babe,ladygaga
1001,29,Roses have thorns they say,ladygaga
1001,30,And were all gettin hosed tonight Oh oh ohoh,ladygaga
1001,45,Just jjjust,ladygaga
1001,47,When I come through on the dance floor checking out that catalogue,ladygaga
1001,48,Cant believe my eyes so many women without a flaw,ladygaga
1001,49,And I aint gonna give it up,ladygaga
1001,50,Steady tryna pick it up like a call,ladygaga
1001,51,Imma hit it Imma beat it up latch onto it until tomorrow yeah,ladygaga
1001,52,Shorty I can see that you got so much energy,ladygaga
1001,53,The way you twirlin up them hips round and round,ladygaga
1001,54,And there is no reason at all why you cant leave here with me,ladygaga
1001,55,In the meantime stay let me watch you break it down and,ladygaga
1001,56,Dance,ladygaga
1001,57,Gonna be okay Ohoh,ladygaga
1001,58,Dadadoodootn just dance Ooh yeah,ladygaga
1001,64,Dadadoodootn just dance Oh,ladygaga
1001,66,Dadadadance dance dance Gonna be okay yeah,ladygaga
1001,67,Just jjjust dance Oh,ladygaga
1001,69,Incredible amazing music,ladygaga
1001,70,Wooo,ladygaga
1001,71,Lets go,ladygaga
1001,73,Half psychotic sick hypnotic got my blueprint its symphonic,ladygaga
1001,74,Half psychotic sick hypnotic got my blueprint electronic,ladygaga
1001,77,Go,ladygaga
1001,78,Use your muscle carve it out work it hustle,ladygaga
1001,79,I got it just stay close enough to get it on,ladygaga
1001,80,Dont slow,ladygaga
1001,81,Drive it clean it Lysol bleed it,ladygaga
1001,82,Spend the last dough I got it in your pocko I got it,ladygaga
1002,0,Guess this means youre sorry,kellyclarkson
1002,1,Youre standin at my door,kellyclarkson
1002,2,Guess this means you take back,kellyclarkson
1002,3,All you said before,kellyclarkson
1002,4,Like how much you wanted,kellyclarkson
1002,5,Anyone but me,kellyclarkson
1002,6,Said youd never come back,kellyclarkson
1002,7,But here you are again,kellyclarkson
1002,9,Cause we belong together now yeah,kellyclarkson
1002,10,Forever united here somehow yeah,kellyclarkson
1002,11,You got a piece of me,kellyclarkson
1002,12,And honestly,kellyclarkson
1002,13,My life My life would suck Would suck without you,kellyclarkson
1002,15,Maybe I was stupid for tellin you goodbye,kellyclarkson
1002,16,Maybe I was wrong for tryna pick a fight,kellyclarkson
1002,17,I know that Ive got issues,kellyclarkson
1002,18,But youre pretty messed up too,kellyclarkson
1002,19,Either way I found out,kellyclarkson
1002,20,Im nothing without you,kellyclarkson
1002,28,Being with you is so dysfunctional,kellyclarkson
1002,29,I really shouldnt miss you,kellyclarkson
1002,30,But I cant let you go,kellyclarkson
1002,31,Oh yeah,kellyclarkson
1002,33,Cause we belong together now yeah yeah,kellyclarkson
1002,37,My life My life would suck Would suck without you yeah,kellyclarkson
1002,38,Cause we belong together now yeah Together now,kellyclarkson
1003,0,Oh sweetheart put the bottle down,kellyclarkson
1003,1,You got too much talent,kellyclarkson
1003,2,I see you through those bloodshot eyes,kellyclarkson
1003,3,Theres a cure you found it,kellyclarkson
1003,4,Slow motion sparks you caught that chill,kellyclarkson
1003,5,Now dont deny it,kellyclarkson
1003,6,But boysll be boys oh yes they will,kellyclarkson
1003,7,They dont wanna define it,kellyclarkson
1003,8,Just give up the game and get into me,kellyclarkson
1003,9,If youre lookin for thrills then get cold feet,kellyclarkson
1003,11,Oh no I do not hook up up I go slow,kellyclarkson
1003,12,So if you want me I dont come cheap,kellyclarkson
1003,13,Keep your hand in my hand and your heart on your sleeve,kellyclarkson
1003,14,Oh no I do not hook up up I fall deep,kellyclarkson
1003,15,Cause the more that you try the harder Ill fight,kellyclarkson
1003,16,To say goodnight,kellyclarkson
1003,18,I cant cook no but I can clean,kellyclarkson
1003,19,Up the mess she left,kellyclarkson
1003,20,Lay your head down and feel the beats,kellyclarkson
1003,21,As I kiss your forehead,kellyclarkson
1003,22,This may not last but this is now,kellyclarkson
1003,23,So love the one youre with,kellyclarkson
1003,24,You want a chase but youre chasin your tail,kellyclarkson
1003,25,A quick fix wont ever get you well,kellyclarkson
1003,31,To say—,kellyclarkson
1003,33,Cause I feel the distance between us,kellyclarkson
1003,34,Could be over,kellyclarkson
1003,35,With a snap of your finger oh no,kellyclarkson
1003,47,Cause you dont wanna miss out,kellyclarkson
1004,0,We are the crowd were ccomin out,ladygaga
1004,1,Got my flash on its true,ladygaga
1004,2,Need that picture of you its so magical,ladygaga
1004,3,Wed be so fantastical,ladygaga
1004,4,Leather and jeans garage glamorous,ladygaga
1004,5,Not sure what it means,ladygaga
1004,6,But this photo of us it dont have a price,ladygaga
1004,7,Ready for those flashing lights,ladygaga
1004,8,Cause you know that baby I,ladygaga
1004,10,Im your biggest fan Ill follow you until you love me,ladygaga
1004,11,Papapaparazzi,ladygaga
1004,12,Baby theres no other superstar you know that Ill be,ladygaga
1004,13,Your papapaparazzi,ladygaga
1004,14,Promise Ill be kind,ladygaga
1004,15,But I wont stop until that boy is mine,ladygaga
1004,16,Baby youll be famous chase you down until you love me,ladygaga
1004,19,Ill be your girl backstage at your show,ladygaga
1004,20,Velvet ropes and guitars yeah cause youre my rock star,ladygaga
1004,21,In between the sets,ladygaga
1004,22,Eyeliner and cigarettes,ladygaga
1004,23,Shadow is burnt yellow dance and we turn,ladygaga
1004,24,My lashes are dry purple teardrops I cry,ladygaga
1004,25,It dont have a price,ladygaga
1004,26,Loving you is cherry pie,ladygaga
1004,38,Real good we dance in the studio,ladygaga
1004,39,Snap snap to that shit on the radio,ladygaga
1004,40,Dont stop for anyone,ladygaga
1004,41,Were plastic but we still have fun,ladygaga
1005,0,You gotta help me out,katyperry
1005,1,Its all a blur last night,katyperry
1005,2,We need a taxi,katyperry
1005,3,Cause youre hungover and Im broke,katyperry
1005,4,I lost my fake ID,katyperry
1005,5,But you lost the motel key,katyperry
1005,6,Spare me your freaking dirty looks now,katyperry
1005,7,Dont blame me,katyperry
1005,9,You wanna cash out,katyperry
1005,10,And get the hell outta town,katyperry
1005,11,Dont be a baby,katyperry
1005,12,Remember what you told me,katyperry
1005,14,Shut up and put your money where your mouth is,katyperry
1005,15,Thats what you get for waking up in Vegas,katyperry
1005,16,Get up and shake the glitter off your clothes now,katyperry
1005,19,Why are those lights so bright,katyperry
1005,20,Oh did we get hitched last night,katyperry
1005,21,Dressed up like Elvis,katyperry
1005,22,Why am I wearing your class ring,katyperry
1005,24,Dont call your mother,katyperry
1005,25,Cause now were partners in crime,katyperry
1005,34,You got me into this,katyperry
1005,35,Information overload situation lost control,katyperry
1005,36,Send out an SOS,katyperry
1005,37,Ha and get some cash out,katyperry
1005,38,Were gonna tear up the town,katyperry
1005,39,No dont be a baby,katyperry
1005,42,Remember what you told me told me told me,katyperry
1005,49,Thats what you get baby,katyperry
1005,50,Shake the glitter,katyperry
1005,51,Shake shake shake the glitter,katyperry
1005,52,Gimme some cash out baby,katyperry
1006,0,You change your mind like a girl changes clothes,katyperry
1006,1,Yeah you PMS like a bitch I would know,katyperry
1006,2,And you overthink always speak cryptically,katyperry
1006,3,I should know that youre no good for me,katyperry
1006,5,Cause youre hot then youre cold,katyperry
1006,6,Youre yes then youre no,katyperry
1006,7,Youre in then youre out,katyperry
1006,8,Youre up then youre down,katyperry
1006,9,Youre wrong when its right,katyperry
1006,10,Its black and its white,katyperry
1006,11,We fight we break up,katyperry
1006,12,We kiss we make up,katyperry
1006,14,You You dont really wanna stay no,katyperry
1006,15,You But you dont really wanna go oh,katyperry
1006,16,Youre hot then youre cold,katyperry
1006,21,We used to be just like twins so in sync,katyperry
1006,22,The same energy nows a dead battery,katyperry
1006,23,Used to laugh Used to laugh bout nothing Bout nothing,katyperry
1006,24,Now youre plain Now youre plain boring Boring,katyperry
1006,25,I should know I should know that youre not gonna change,katyperry
1006,43,Someone call the doctor,katyperry
1006,44,Got a case of a love bipolar,katyperry
1006,45,Stuck on a roller coaster,katyperry
1006,46,Cant get off this ride,katyperry
1007,0,Theres only two types of people in the world,britneyspears
1007,1,The ones that entertain and the ones that observe,britneyspears
1007,2,Well baby Im a putonashow kinda girl,britneyspears
1007,3,Dont like the backseat gotta be first Oh oh,britneyspears
1007,4,Im like the ringleader I call the shots Call the shots,britneyspears
1007,5,Im like a firecracker I make it hot,britneyspears
1007,7,When I put on a show,britneyspears
1007,8,I feel the adrenaline movin through my veins,britneyspears
1007,9,Spotlight on me and Im ready to break,britneyspears
